Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
70836/176763;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;45.0;26.37;58.6;60
70836/176765;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;45.0;26.37;58.6;60
108358/176921;Kruhové jehlice è. 9;122.8;193.0;70.2;36.37;35
117561/176921;Kruhové jehlice è. 9;245.6;270.2;24.6;9.1;10
70837/176921;Kruhové jehlice è. 9;24.56;59.3;34.74;58.58;60
70837/176922;Kruhové jehlice è. 9;54.45;59.0;4.55;7.71;10
100937/190075;Plastovı rámeèek na pletení ponoek 5,3x13,5 cm;279.51;439.2;159.69;36.36;35
100938/190075;Plastovı rámeèek na pletení ponoek 5,3x13,5 cm;1118.04;1229.8;111.76;9.09;10
79082/190075;Plastovı rámeèek na pletení ponoek 5,3x13,5 cm;93.17;224.9;131.73;58.57;60
126277/194018;"Kruhové jehlice è. 2,5; 3; 3,5; 4";457.5;503.1;45.6;9.06;10
126277/194019;"Kruhové jehlice è. 2,5; 3; 3,5; 4";457.5;503.1;45.6;9.06;10
126277/194020;"Kruhové jehlice è. 2,5; 3; 3,5; 4";457.5;0.0;-457.5;0;0
126277/194021;"Kruhové jehlice è. 2,5; 3; 3,5; 4";457.5;503.1;45.6;9.06;10
139761/194018;"Kruhové jehlice è. 2,5; 3; 3,5; 4";152.5;239.6;87.1;36.35;35
139761/194019;"Kruhové jehlice è. 2,5; 3; 3,5; 4";152.5;239.6;87.1;36.35;35
139761/194020;"Kruhové jehlice è. 2,5; 3; 3,5; 4";152.5;0.0;-152.5;0;0
139761/194021;"Kruhové jehlice è. 2,5; 3; 3,5; 4";152.5;239.6;87.1;36.35;35
81457/194018;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;36.8;21.55;58.56;60
81457/194019;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;36.8;21.55;58.56;60
81457/194020;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;37.0;21.75;58.78;60
81457/194021;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;36.8;21.55;58.56;60
